name             R.A.(J2000) Dec  nH20  t_exp  cr_VTP  r_VTP  cr_final cr_err   kT     z     fx(-12)  lx(44)  z_ref
A2204           248.195     5.574   5.3   541     1.06    5.4     1.12   0.12 	11.4e  0.1524  	 21.9  	21.25  	(37)
A2218           248.970    66.214   3.4  1937     0.39    5.0     0.44   0.04 	 6.7   0.1710  	  7.5  	 9.30  	(37)
A2219           250.094    46.706   1.7   930     0.60    5.1     0.65   0.07 	11.4e  0.2281  	  9.5  	20.40  	 (2)
RXJ1651.1+0459  252.798     4.996   6.0   516     0.25    3.7     0.28   0.06 	 6.6e  0.1540  	  5.6  	 5.62  	(40)
AWM_5           254.464    27.860   4.6   807     0.20    5.7     0.24   0.05 	 2.6   0.0347  	  4.5  	 0.23  	 (4)
A2241           254.934    32.617   2.2   749     0.27    4.9     0.29   0.05 	 4.3e  0.1013  	  4.4  	 1.94  	(15)
A2244           255.667    34.063   2.1   768     1.41    8.9     1.54   0.13 	 7.1   0.0970  	 23.4  	 9.34  	(38)
A2256           256.010    78.632   4.1  1455     2.50   13.0     2.72   0.12 	 7.5   0.0581  	 49.5  	 7.11  	(47)
A2249           257.452    34.474   2.4   772     0.77    8.8     0.92   0.10 	 5.6e  0.0802  	 14.4  	 3.95  	(42)
A2255           258.182    64.062   2.6  3527     0.98    9.3     1.10   0.05 	 7.3   0.0809  	 17.8  	 4.94  	(47)
RXJ1715.3+5725  258.826    57.427   2.6  1647     0.72    8.1     0.82   0.06 	 2.4e  0.0280  	 12.7  	 0.43  	(14)
A2254           259.441    19.673   5.3   622     0.25    5.2     0.30   0.06 	 7.5e  0.1780  	  5.8  	 7.73  	(10)
Z8197           259.548    56.671   2.6  1467     0.31    4.8     0.33   0.04 	 5.0e  0.1135  	  5.3  	 2.89  	(11)
RXJ1720.1+2638  260.037    26.635   3.9   707     0.75    5.8     0.80   0.09 	10.2e  0.1640  	 14.3  	16.12  	(14)
A2259           260.040    27.669   3.8   716     0.30    4.7     0.33   0.06 	 7.1e  0.1640  	  5.9  	 6.66  	(10)
A2261           260.615    32.127   3.2   768     0.46    5.7     0.51   0.07 	10.8e  0.2240  	  8.7  	18.18  	(10)
A2294           260.980    85.890   6.1  1078     0.21    4.6     0.25   0.04 	 7.1e  0.1780  	  5.0  	 6.62  	(10)
RXJ1733.0+4345  263.255    43.758   2.4  1110     0.67    6.2     0.76   0.07 	 2.6e  0.0330  	 11.6  	 0.54  	(11)
RXJ1740.5+3539  265.133    35.652   2.8   897     0.34    5.0     0.40   0.06 	 2.5e  0.0430  	  6.3  	 0.50  	(11)
Z8276           266.056    32.982   3.4   827     0.86    7.1     0.96   0.10 	 5.7e  0.0757  	 16.4  	 4.02  	(44)
RXJ1750.2+3505  267.567    35.083   3.0   869     0.24    4.1     0.26   0.05 	 6.6e  0.1710  	  4.4  	 5.49  	(11)
Z8338           272.710    49.920   4.1  1566     0.40    6.4     0.46   0.05 	 3.0e  0.0473  	  8.2  	 0.79  	(23)
A2312           283.451    68.385   5.7  2973     0.23    5.0     0.26   0.03 	 4.2e  0.0928  	  5.1  	 1.89  	(19)
A2318           286.433    78.083   4.8  1372     0.27    4.3     0.28   0.04 	 6.0e  0.1405  	  5.3  	 4.40  	 (2)
II_Zw_108       318.526     2.569   6.2   462     0.92   12.0     1.09   0.14 	 4.4e  0.0483  	 21.9  	 2.19  	(19)
RXJ2129.6+0005  322.408     0.094   4.3   287     0.39    5.4     0.44   0.11 	11.0e  0.2350  	  8.1  	18.59  	(11)
A2390           328.403    17.692   6.6   267     0.41    5.4     0.47   0.11 	11.6e  0.2329  	  9.6  	21.44  	(26)
A2409           330.227    20.959   6.4   312     0.38    6.5     0.43   0.10 	 7.6e  0.1470  	  8.8  	 8.06  	 (2)
RXJ2214.7+1350  333.699    13.834   4.9   280     0.22    7.3     0.28   0.09 	 1.6e  0.0263  	  5.1  	 0.15  	(24)
A2443           336.511    17.378   4.9   476     0.32    7.1     0.35   0.07 	 5.2e  0.1072  	  6.6  	 3.23  	(37)
A2457           338.918     1.526   5.4   165     0.39    6.3     0.50   0.16 	 3.8e  0.0591  	  9.6  	 1.44  	(18)
A2495           342.571    10.917   4.9   407     0.56    8.4     0.62   0.11 	 5.0e  0.0768  	 11.8  	 2.98  	(19)
Z8852           347.629     7.583   5.1   446     0.60   12.1     0.72   0.11 	 3.2e  0.0400  	 13.8  	 0.94  	 (8)
A2572a          349.294    18.691   4.7   465     0.61    9.4     0.72   0.11 	 2.5   0.0422  	 13.4  	 1.03  	(13)
A2572b          349.612    18.724   4.7   466     0.45    8.2     0.54   0.10 	 2.8e  0.0389  	 10.0  	 0.65  	(13)
A2589           350.973    16.809   3.9   459     1.23    9.8     1.43   0.16 	 3.7   0.0416  	 25.3  	 1.88  	(47)
A2593           351.084    14.651   4.1   448     0.70   10.0     0.83   0.12 	 3.1   0.0428  	 14.8  	 1.17  	 (6)
A2622           353.771    27.370   5.3   503     0.30    8.3     0.35   0.07 	 3.4e  0.0613  	  6.7  	 1.09  	(38)
A2626           354.142    21.128   4.1   489     0.69    9.6     0.80   0.11 	 2.9   0.0565  	 14.3  	 1.96  	(15)
A2627           354.174    23.930   4.1   471     0.25    4.1     0.28   0.07 	 5.3e  0.1245  	  5.0  	 3.33  	(10)
A2634           354.615    27.022   4.9   613     1.03   15.3     1.22   0.13 	 3.4   0.0309  	 23.1  	 0.95  	(47)
A2657           356.237     9.201   5.6   441     1.06   10.5     1.20   0.15 	 3.4   0.0400  	 23.4  	 1.61  	(47)
Z9077           357.644    29.531   5.3   251     0.23    5.2     0.28   0.09 	 4.4e  0.0950  	  5.5  	 2.11  	(41)
A2665           357.713     6.138   5.5   437     0.63    8.7     0.72   0.11 	 4.2e  0.0562  	 14.1  	 1.90  	(39)
A2675           358.962    11.355   4.8   439     0.36    9.0     0.46   0.09 	 4.2e  0.0720  	  8.6  	 1.90  	(18)
